Guide_ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Basic_Skills_Avg,Nature_Knowledge_Avg,Interpretation_Avg,Leadership_Safety_Avg,Cultural_Expertise_Avg,Overall_Average,Recommended_Course
GUIDE_0005,3,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,2,3,3,2,2,3,2,2,1,2,3.25,3.0,3.0,2.75,2.0,2.730769230769231,Master Park Guide Certification Program
GUIDE_0005,3,4,4,3,3,3,2,4,4,3,3,3,1,3,2,2,3,4,3,2,3,4,4,2,1,3,3.5,3.0,3.25,2.5,2.8333333333333335,2.923076923076923,Advanced Park Guiding: Leadership and Safety
GUIDE_0005,4,5,4,4,3,3,5,5,5,3,3,4,2,3,2,3,4,3,4,4,2,2,2,5,3,5,4.25,4.0,3.75,3.125,3.1666666666666665,3.5384615384615383,Advanced Park Guiding: Leadership and Safety
GUIDE_0005,4,2,3,4,3,4,2,4,2,1,3,1,3,3,4,3,2,2,3,4,4,4,3,3,3,2,3.25,3.25,1.75,3.0,3.1666666666666665,2.923076923076923,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0005,4,3,5,4,5,2,5,4,5,4,5,4,4,5,4,4,4,4,4,4,5,3,3,5,5,5,4.0,4.0,4.5,4.125,4.333333333333333,4.1923076923076925,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0005,3,4,4,4,4,3,3,5,3,3,2,3,2,4,4,3,5,4,3,2,5,2,1,4,5,4,3.75,3.75,2.75,3.375,3.5,3.423076923076923,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0005,3,4,3,4,4,3,4,3,3,4,2,4,3,3,3,4,3,3,3,4,3,3,2,3,2,5,3.5,3.5,3.25,3.25,3.0,3.269230769230769,Master Park Guide Certification Program
GUIDE_0005,1,2,3,1,2,3,1,2,2,3,2,1,1,3,3,2,2,1,3,1,2,2,2,2,2,2,1.75,2.0,2.0,2.0,2.0,1.9615384615384615,Introduction to Park Guiding
GUIDE_0006,5,4,2,5,3,2,3,3,3,3,2,3,2,3,2,2,4,4,3,2,3,4,3,4,3,2,4.0,2.75,2.75,2.75,3.1666666666666665,3.0384615384615383,Nature Guide Fundamentals
GUIDE_0006,3,3,5,3,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3,4,3,3,3,4,5,3,3.5,4.0,3.5,3.25,3.5,3.5,Advanced Park Guiding: Leadership and Safety
GUIDE_0006,3,3,5,4,4,3,3,4,4,4,3,4,4,4,2,1,4,2,3,3,2,3,3,3,2,3,3.75,3.5,3.75,2.875,2.6666666666666665,3.1923076923076925,Master Park Guide Certification Program
GUIDE_0006,4,3,3,4,2,4,3,2,5,2,3,3,4,4,3,2,3,2,5,3,2,3,2,1,4,2,3.5,2.75,3.25,3.25,2.3333333333333335,3.0,Master Park Guide Certification Program
GUIDE_0006,5,4,2,4,4,2,3,4,4,3,3,2,3,3,3,2,2,1,1,3,3,2,3,3,1,1,3.75,3.25,3.0,2.25,2.1666666666666665,2.730769230769231,Master Park Guide Certification Program
GUIDE_0006,4,3,4,3,3,4,5,4,4,5,4,5,3,2,4,3,4,4,4,3,3,2,2,4,5,4,3.5,4.0,4.5,3.375,3.3333333333333335,3.6538461538461537,Master Park Guide Certification Program
GUIDE_0006,3,3,5,4,5,3,4,5,5,5,4,4,3,3,3,2,3,3,3,4,3,3,4,3,3,3,3.75,4.25,4.5,3.0,3.1666666666666665,3.576923076923077,Advanced Park Guiding: Leadership and Safety
GUIDE_0006,3,4,1,3,4,3,2,3,3,4,2,3,3,2,1,3,4,4,3,2,3,2,3,2,1,1,2.75,3.0,3.0,2.75,2.0,2.6538461538461537,Master Park Guide Certification Program
GUIDE_0007,2,1,2,3,2,2,3,1,2,3,1,2,1,3,2,1,3,2,2,2,3,1,2,3,3,2,2.0,2.0,2.0,2.0,2.3333333333333335,2.076923076923077,Introduction to Park Guiding
GUIDE_0007,3,4,5,5,4,4,4,5,4,4,5,4,4,3,4,5,3,3,4,4,4,3,3,4,4,4,4.25,4.25,4.25,3.75,3.6666666666666665,3.9615384615384617,Master Park Guide Certification Program
GUIDE_0007,3,5,4,3,3,4,5,3,3,4,3,4,2,3,3,3,4,5,4,4,3,3,3,3,4,4,3.75,3.75,3.5,3.5,3.3333333333333335,3.5384615384615383,Master Park Guide Certification Program
GUIDE_0007,3,5,5,5,3,4,4,3,4,3,4,3,3,3,3,4,3,4,2,3,4,2,2,4,4,4,4.5,3.5,3.5,3.125,3.3333333333333335,3.5,Advanced Park Guiding: Leadership and Safety
GUIDE_0007,4,4,3,4,4,4,4,4,4,3,4,3,2,2,2,3,2,4,4,3,3,4,3,4,4,3,3.75,4.0,3.5,2.75,3.5,3.3846153846153846,Advanced Park Guiding: Leadership and Safety
GUIDE_0007,4,5,4,4,3,3,3,5,3,3,4,3,4,2,3,2,2,3,3,3,3,2,3,2,4,3,4.25,3.5,3.25,2.75,2.8333333333333335,3.1923076923076925,Advanced Park Guiding: Leadership and Safety
GUIDE_0007,4,3,3,3,4,4,4,5,4,3,4,3,2,3,3,1,3,3,4,3,3,3,4,4,4,2,3.25,4.25,3.5,2.75,3.3333333333333335,3.3076923076923075,Advanced Park Guiding: Leadership and Safety
GUIDE_0007,4,4,3,4,3,3,3,3,4,4,1,4,1,4,4,2,2,2,3,3,4,4,4,2,2,1,3.75,3.0,3.25,2.625,2.8333333333333335,3.0,Advanced Park Guiding: Leadership and Safety
GUIDE_0008,4,3,4,4,4,4,3,3,2,3,3,4,3,3,2,2,4,2,4,3,4,3,3,4,3,3,3.75,3.5,3.0,2.875,3.3333333333333335,3.230769230769231,Advanced Park Guiding: Leadership and Safety
GUIDE_0008,1,4,1,2,3,3,2,2,2,2,2,3,2,3,2,3,2,1,3,1,2,2,3,1,4,3,2.0,2.5,2.25,2.125,2.5,2.269230769230769,Introduction to Park Guiding
GUIDE_0008,4,4,3,3,4,5,3,5,3,4,4,2,2,4,2,2,2,2,4,3,3,3,2,3,4,3,3.5,4.25,3.25,2.625,3.0,3.1923076923076925,Advanced Park Guiding: Leadership and Safety
GUIDE_0008,1,2,2,1,3,3,1,2,2,1,3,2,2,1,3,1,2,2,3,1,1,2,4,3,2,1,1.5,2.25,2.0,1.875,2.1666666666666665,1.9615384615384615,Introduction to Park Guiding
GUIDE_0008,1,3,1,2,2,1,2,2,3,1,2,3,2,2,3,2,3,2,2,3,2,3,2,4,3,1,1.75,1.75,2.25,2.375,2.5,2.1923076923076925,Introduction to Park Guiding
GUIDE_0008,3,3,4,5,3,4,4,4,2,2,3,3,3,3,3,4,4,4,4,3,4,3,3,3,2,4,3.75,3.75,2.5,3.5,3.1666666666666665,3.3461538461538463,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0008,1,1,1,2,1,3,1,2,2,3,2,4,2,3,2,2,3,2,2,3,2,1,2,3,1,2,1.25,1.75,2.75,2.375,1.8333333333333333,2.0384615384615383,Introduction to Park Guiding
GUIDE_0008,4,3,5,4,4,3,3,4,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,4,3,4.0,3.5,3.5,3.25,3.3333333333333335,3.4615384615384617,Advanced Park Guiding: Leadership and Safety
GUIDE_0009,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,5,5,4,5,4,4.75,4.75,5.0,4.5,4.5,4.653846153846154,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0009,4,3,3,4,4,4,3,5,4,5,3,4,3,2,4,3,3,1,4,2,2,3,3,4,3,4,3.5,4.0,4.0,2.75,3.1666666666666665,3.3461538461538463,Advanced Park Guiding: Leadership and Safety
GUIDE_0009,2,4,2,4,3,1,2,4,2,2,3,4,3,2,4,4,4,3,2,2,3,3,4,2,1,3,3.0,2.5,2.75,3.0,2.6666666666666665,2.8076923076923075,Nature Guide Fundamentals
GUIDE_0009,5,4,5,5,4,5,3,4,2,3,4,4,4,3,1,3,4,3,3,4,3,3,3,3,4,4,4.75,4.0,3.25,3.125,3.3333333333333335,3.576923076923077,Advanced Park Guiding: Leadership and Safety
GUIDE_0009,5,4,4,3,4,4,3,4,5,4,5,4,3,3,5,4,4,4,4,5,4,3,3,4,4,3,4.0,3.75,4.5,4.0,3.5,3.923076923076923,Master Park Guide Certification Program
GUIDE_0009,4,2,3,4,3,3,3,2,4,4,4,4,1,4,3,1,3,3,4,3,2,4,3,2,2,1,3.25,2.75,4.0,2.75,2.3333333333333335,2.923076923076923,Master Park Guide Certification Program
GUIDE_0009,4,4,3,5,5,3,4,4,4,4,3,3,2,2,3,3,3,4,4,3,3,3,3,3,4,4,4.0,4.0,3.5,3.0,3.3333333333333335,3.4615384615384617,Advanced Park Guiding: Leadership and Safety
GUIDE_0009,4,3,2,2,4,4,3,3,3,3,4,3,3,3,4,2,3,3,4,3,3,3,3,4,2,2,2.75,3.5,3.25,3.125,2.8333333333333335,3.076923076923077,Introduction to Park Guiding
GUIDE_0010,4,5,5,5,4,4,4,5,4,4,4,5,4,3,4,3,3,4,4,5,4,3,3,5,5,3,4.75,4.25,4.25,3.75,3.8333333333333335,4.076923076923077,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0010,3,3,1,3,3,2,5,4,2,4,4,3,3,3,1,3,3,4,3,3,3,4,3,2,2,3,2.5,3.5,3.25,2.875,2.8333333333333335,2.9615384615384617,Introduction to Park Guiding
GUIDE_0010,5,3,2,3,3,2,1,4,4,3,2,3,3,3,3,2,3,3,4,3,4,3,4,3,1,3,3.25,2.5,3.0,3.0,3.0,2.9615384615384617,Nature Guide Fundamentals
GUIDE_0010,5,5,4,4,3,5,4,4,4,4,5,4,3,4,4,4,5,4,5,4,4,3,4,4,3,5,4.5,4.0,4.25,4.125,3.8333333333333335,4.115384615384615,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0010,4,4,3,3,3,2,3,4,2,3,3,3,2,4,2,1,3,2,3,4,3,4,5,3,2,4,3.5,3.0,2.75,2.625,3.5,3.0384615384615383,Advanced Park Guiding: Leadership and Safety
GUIDE_0010,5,3,5,5,3,4,5,4,4,5,5,5,5,5,3,4,5,5,4,3,5,3,3,4,5,4,4.5,4.0,4.75,4.25,4.0,4.269230769230769,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0010,4,4,5,5,4,5,4,5,5,4,5,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4.5,4.5,4.5,3.75,3.5,4.038461538461538,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0010,3,4,3,4,3,4,3,3,3,2,4,5,4,3,3,3,4,3,3,3,5,3,1,2,3,4,3.5,3.25,3.5,3.25,3.0,3.269230769230769,Master Park Guide Certification Program
GUIDE_0011,4,2,2,3,2,3,3,3,3,2,2,2,4,3,2,3,3,3,2,2,2,2,3,3,2,3,2.75,2.75,2.25,2.75,2.5,2.6153846153846154,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0011,3,3,1,1,2,3,1,2,2,4,2,3,3,1,3,3,3,5,1,4,3,3,3,2,1,2,2.0,2.0,2.75,2.875,2.3333333333333335,2.4615384615384617,Introduction to Park Guiding
GUIDE_0011,4,4,4,3,4,5,4,3,3,4,4,4,2,2,4,3,4,3,3,4,3,2,2,3,3,3,3.75,4.0,3.75,3.125,2.6666666666666665,3.3461538461538463,Master Park Guide Certification Program
GUIDE_0011,4,5,5,4,5,3,4,4,4,4,5,4,4,4,3,4,3,4,3,5,4,4,4,3,4,4,4.5,4.0,4.25,3.75,3.8333333333333335,4.0,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0011,3,2,3,3,3,2,3,3,3,1,3,2,3,1,4,3,3,1,3,4,2,2,2,2,2,4,2.75,2.75,2.25,2.75,2.3333333333333335,2.576923076923077,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0011,3,3,3,3,1,2,3,2,3,3,2,3,2,3,3,3,2,3,3,1,4,2,3,3,1,2,3.0,2.0,2.75,2.5,2.5,2.5384615384615383,Nature Guide Fundamentals
GUIDE_0011,3,3,2,3,4,3,1,3,3,4,4,4,2,5,3,4,2,3,3,3,4,3,4,3,2,3,2.75,2.75,3.75,3.125,3.1666666666666665,3.1153846153846154,Introduction to Park Guiding
GUIDE_0011,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,5,4,4,4,4,4,4,4,4.75,5.0,4.75,4.5,4.0,4.538461538461538,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0012,4,3,4,4,3,3,4,3,4,3,1,3,2,2,2,3,4,4,3,4,2,2,2,2,3,4,3.75,3.25,2.75,3.0,2.5,3.0,Master Park Guide Certification Program
GUIDE_0012,3,2,4,4,4,2,3,5,2,1,1,3,1,2,3,3,3,3,4,2,2,2,4,3,3,3,3.25,3.5,1.75,2.625,2.8333333333333335,2.769230769230769,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0012,5,4,5,3,4,5,5,4,4,3,5,5,4,4,4,4,4,4,5,3,3,3,3,4,5,5,4.25,4.5,4.25,4.0,3.8333333333333335,4.115384615384615,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0012,3,1,1,3,3,2,2,1,3,3,4,1,2,2,3,2,2,3,3,1,3,3,2,2,2,1,2.0,2.0,2.75,2.25,2.1666666666666665,2.230769230769231,Introduction to Park Guiding
GUIDE_0012,5,3,3,5,3,2,4,2,1,4,4,2,2,2,3,4,3,4,4,3,4,3,4,2,1,3,4.0,2.75,2.75,3.125,2.8333333333333335,3.076923076923077,Nature Guide Fundamentals
GUIDE_0012,2,1,1,2,3,3,2,2,1,3,3,1,3,3,3,1,1,2,3,4,3,2,1,3,1,3,1.5,2.5,2.0,2.5,2.1666666666666665,2.1923076923076925,Introduction to Park Guiding
GUIDE_0012,4,4,4,3,3,4,2,4,3,3,3,4,4,2,4,3,4,4,5,3,2,4,2,3,3,3,3.75,3.25,3.25,3.625,2.8333333333333335,3.3461538461538463,Master Park Guide Certification Program
GUIDE_0012,3,5,2,4,4,5,2,3,3,3,3,3,1,3,3,3,5,2,3,5,2,2,3,3,2,1,3.5,3.5,3.0,3.125,2.1666666666666665,3.0,Master Park Guide Certification Program
GUIDE_0013,4,5,4,3,5,5,4,3,2,4,4,3,3,4,3,2,3,3,3,3,3,2,3,3,2,5,4.0,4.25,3.25,3.0,3.0,3.3846153846153846,Advanced Park Guiding: Leadership and Safety
GUIDE_0013,3,3,3,3,2,2,3,2,4,1,3,3,3,2,4,2,2,3,4,2,5,2,2,3,2,2,3.0,2.25,2.75,2.75,2.6666666666666665,2.6923076923076925,Nature Guide Fundamentals
GUIDE_0013,4,4,3,4,5,2,4,2,3,5,3,3,3,4,2,2,4,5,4,3,4,4,4,3,3,3,3.75,3.25,3.5,3.375,3.5,3.4615384615384617,Nature Guide Fundamentals
GUIDE_0013,1,2,2,2,1,2,2,1,3,3,2,2,3,2,3,2,3,2,2,1,2,2,2,2,1,4,1.75,1.5,2.5,2.25,2.1666666666666665,2.076923076923077,Nature Guide Fundamentals
GUIDE_0013,3,5,5,4,5,5,4,4,4,4,3,3,3,3,3,3,4,3,4,4,4,2,2,4,4,4,4.25,4.5,3.5,3.375,3.3333333333333335,3.6923076923076925,Master Park Guide Certification Program
GUIDE_0013,3,3,5,3,1,2,3,2,3,2,4,2,2,3,2,3,3,3,2,4,5,3,2,2,3,2,3.5,2.0,2.75,2.75,2.8333333333333335,2.769230769230769,Nature Guide Fundamentals
GUIDE_0013,3,3,4,4,4,4,4,5,3,3,3,4,4,3,2,5,4,4,3,4,3,4,4,4,3,3,3.5,4.25,3.25,3.625,3.5,3.6153846153846154,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0013,1,4,3,4,2,3,3,2,1,4,4,2,3,2,2,4,1,3,3,4,4,1,3,2,2,3,3.0,2.5,2.75,2.75,2.5,2.6923076923076925,Nature Guide Fundamentals
GUIDE_0014,2,1,2,3,1,2,2,3,2,2,1,2,4,2,2,2,2,2,3,2,2,1,3,3,1,3,2.0,2.0,1.75,2.375,2.1666666666666665,2.1153846153846154,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0014,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,3,3,3,4,4.25,4.0,4.0,4.0,3.3333333333333335,3.8846153846153846,Master Park Guide Certification Program
GUIDE_0014,3,3,3,2,2,3,3,3,2,4,2,3,4,3,3,2,4,2,2,2,4,3,2,2,2,2,2.75,2.75,2.75,2.75,2.5,2.6923076923076925,Master Park Guide Certification Program
GUIDE_0014,3,4,5,4,5,4,4,4,3,4,5,4,4,4,4,4,3,5,4,5,5,3,4,4,5,5,4.0,4.25,4.0,4.125,4.333333333333333,4.153846153846154,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0014,4,4,3,2,4,5,5,4,4,4,3,3,4,2,4,3,4,2,4,3,2,3,3,3,3,3,3.25,4.5,3.5,3.25,2.8333333333333335,3.3846153846153846,Master Park Guide Certification Program
GUIDE_0014,5,5,3,3,3,4,4,4,2,3,4,4,3,3,2,3,3,5,4,3,2,3,3,4,4,3,4.0,3.75,3.25,3.25,3.1666666666666665,3.423076923076923,Master Park Guide Certification Program
GUIDE_0014,4,4,5,5,4,5,4,5,3,4,4,5,4,3,3,5,4,3,4,4,4,4,4,3,4,4,4.5,4.5,4.0,3.75,3.8333333333333335,4.038461538461538,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0014,2,2,1,1,1,2,2,4,4,1,1,2,2,2,2,2,3,1,3,2,4,3,2,1,1,3,1.5,2.25,2.0,2.125,2.3333333333333335,2.076923076923077,Introduction to Park Guiding
GUIDE_0015,3,4,4,3,4,4,4,3,4,4,4,4,3,3,3,2,4,3,3,4,3,2,4,4,3,2,3.5,3.75,4.0,3.125,3.0,3.3846153846153846,Master Park Guide Certification Program
GUIDE_0015,3,3,3,4,3,3,2,2,4,3,3,4,3,2,2,2,4,2,4,3,2,2,2,4,1,4,3.25,2.5,3.5,2.75,2.5,2.8461538461538463,Nature Guide Fundamentals
GUIDE_0015,1,3,2,2,1,1,4,2,4,2,2,3,3,2,2,2,2,3,2,3,4,3,2,1,1,2,2.0,2.0,2.75,2.375,2.1666666666666665,2.269230769230769,Introduction to Park Guiding
GUIDE_0015,4,3,4,4,5,2,4,5,3,3,3,3,2,3,4,2,3,4,3,2,3,3,3,3,4,3,3.75,4.0,3.0,2.875,3.1666666666666665,3.269230769230769,Advanced Park Guiding: Leadership and Safety
GUIDE_0015,5,4,4,4,4,5,5,4,4,4,5,4,5,4,4,5,5,5,5,4,3,5,4,5,4,5,4.25,4.5,4.25,4.625,4.333333333333333,4.423076923076923,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0015,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,3,3,4,4,2,2,4,3,3,2,3,4.0,3.75,3.25,3.25,2.8333333333333335,3.3461538461538463,Master Park Guide Certification Program
GUIDE_0015,4,3,4,2,2,2,2,4,5,2,2,2,2,4,2,2,2,3,3,2,2,4,3,3,2,3,3.25,2.5,2.75,2.5,2.8333333333333335,2.730769230769231,Nature Guide Fundamentals
GUIDE_0015,3,4,5,3,3,2,3,3,3,2,1,3,1,3,4,3,5,4,2,3,3,1,2,2,1,2,3.75,2.75,2.25,3.125,1.8333333333333333,2.730769230769231,Master Park Guide Certification Program
GUIDE_0016,4,4,5,3,5,3,4,3,4,2,3,3,3,4,4,1,5,4,3,4,3,2,3,3,3,3,4.0,3.75,3.0,3.5,2.8333333333333335,3.3846153846153846,Master Park Guide Certification Program
GUIDE_0016,4,5,5,4,5,5,5,5,4,4,5,5,5,4,4,4,5,4,5,5,4,4,4,4,4,4,4.5,5.0,4.5,4.5,4.0,4.461538461538462,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0016,3,2,3,2,1,1,1,3,3,4,3,3,2,1,3,3,2,3,2,3,3,3,3,3,2,3,2.5,1.5,3.25,2.375,2.8333333333333335,2.5,Nature Guide Fundamentals
GUIDE_0016,3,3,4,4,4,4,4,5,3,4,4,3,4,3,2,2,4,3,3,3,4,1,3,3,4,3,3.5,4.25,3.5,3.0,3.0,3.3461538461538463,Advanced Park Guiding: Leadership and Safety
GUIDE_0016,3,5,5,3,4,4,3,4,4,4,3,4,2,3,3,3,4,3,5,2,2,3,3,3,3,4,4.0,3.75,3.75,3.125,3.0,3.423076923076923,Master Park Guide Certification Program
GUIDE_0016,1,2,1,1,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1.25,2.25,2.0,2.125,1.8333333333333333,1.9230769230769231,Introduction to Park Guiding
GUIDE_0016,3,3,4,1,3,3,3,4,3,4,3,4,4,4,2,3,2,3,3,2,3,1,4,2,2,2,2.75,3.25,3.5,2.875,2.3333333333333335,2.8846153846153846,Master Park Guide Certification Program
GUIDE_0016,5,4,5,5,4,4,5,5,4,4,5,3,4,3,5,4,4,5,4,5,3,3,5,4,3,4,4.75,4.5,4.0,4.25,3.6666666666666665,4.1923076923076925,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0017,3,5,3,4,3,5,4,4,4,4,3,3,4,3,2,2,3,2,3,3,3,3,3,3,3,3,3.75,4.0,3.5,2.75,3.0,3.269230769230769,Advanced Park Guiding: Leadership and Safety
GUIDE_0017,2,4,3,2,2,3,3,2,2,2,1,2,2,3,2,1,2,1,3,2,3,2,2,1,3,3,2.75,2.5,1.75,2.0,2.3333333333333335,2.230769230769231,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0017,1,3,3,2,2,3,2,3,2,2,2,3,2,3,1,3,1,2,3,2,1,3,2,2,2,3,2.25,2.5,2.25,2.125,2.1666666666666665,2.230769230769231,Advanced Park Guiding: Leadership and Safety
GUIDE_0017,4,3,4,2,1,3,3,1,2,5,3,3,2,1,3,3,2,3,3,3,2,3,1,1,3,3,3.25,2.0,3.25,2.5,2.1666666666666665,2.576923076923077,Nature Guide Fundamentals
GUIDE_0017,4,3,3,5,3,4,4,4,3,4,3,4,3,2,4,3,2,4,4,4,3,3,3,4,3,3,3.75,3.75,3.5,3.25,3.1666666666666665,3.423076923076923,Master Park Guide Certification Program
